ID,Predicted Type
TEST_1,0
TEST_2,0
TEST_3,0
TEST_4,0
TEST_5,1
TEST_6,1
TEST_7,0
TEST_8,0
TEST_9,1
TEST_10,0
TEST_11,0
TEST_12,0
TEST_13,0
TEST_14,0
TEST_15,0
TEST_16,1
TEST_17,0
TEST_18,0
TEST_19,0
TEST_20,0
TEST_21,0
TEST_22,0
TEST_23,0
TEST_24,0
TEST_25,0
TEST_26,0
TEST_27,0
TEST_28,0
TEST_29,0
TEST_30,0
TEST_31,1
TEST_32,1
TEST_33,1
TEST_34,0
TEST_35,0
TEST_36,0
TEST_37,1
TEST_38,0
TEST_39,0
TEST_40,1
TEST_41,0
TEST_42,0
TEST_43,0
TEST_44,1
TEST_45,0
TEST_46,1
TEST_47,0
TEST_48,0
TEST_49,0
TEST_50,0
TEST_51,0
TEST_52,0
TEST_53,0
TEST_54,0
TEST_55,0
TEST_56,0
TEST_57,0
TEST_58,1
TEST_59,0
TEST_60,0
TEST_61,0
TEST_62,1
TEST_63,0
TEST_64,0
TEST_65,0
TEST_66,0
TEST_67,1
TEST_68,0
TEST_69,0
TEST_70,1
TEST_71,1
TEST_72,0
TEST_73,1
TEST_74,0
TEST_75,1
TEST_76,0
TEST_77,0
TEST_78,0
TEST_79,0
TEST_80,0
TEST_81,0
TEST_82,0
TEST_83,1
TEST_84,0
TEST_85,0
TEST_86,1
TEST_87,0
TEST_88,0
TEST_89,0
TEST_90,1
TEST_91,1
TEST_92,1
TEST_93,0
TEST_94,0
TEST_95,1
TEST_96,0
TEST_97,0
TEST_98,0
TEST_99,1
TEST_100,0
TEST_101,0
TEST_102,0
TEST_103,0
TEST_104,0
TEST_105,0
TEST_106,0
TEST_107,0
TEST_108,0
TEST_109,0
TEST_110,0
TEST_111,1
TEST_112,0
TEST_113,0
TEST_114,0
TEST_115,1
TEST_116,0
TEST_117,0
TEST_118,1
TEST_119,0
TEST_120,0
TEST_121,0
TEST_122,0
TEST_123,0
TEST_124,1
TEST_125,0
TEST_126,1
TEST_127,1
TEST_128,1
TEST_129,1
TEST_130,0
TEST_131,0
TEST_132,0
TEST_133,0
TEST_134,0
TEST_135,0
TEST_136,0
TEST_137,1
TEST_138,0
TEST_139,0
TEST_140,0
TEST_141,1
TEST_142,1
TEST_143,0
TEST_144,0
TEST_145,0
TEST_146,1
TEST_147,1
TEST_148,0
TEST_149,0
TEST_150,0
TEST_151,0
TEST_152,0
TEST_153,0
TEST_154,0
TEST_155,1
TEST_156,1
TEST_157,1
TEST_158,0
TEST_159,0
TEST_160,0
TEST_161,1
TEST_162,0
TEST_163,0
TEST_164,0
TEST_165,0
TEST_166,0
TEST_167,1
TEST_168,0
TEST_169,0
TEST_170,0
TEST_171,1
TEST_172,0
TEST_173,0
TEST_174,1
TEST_175,0
